date,EURUSD Curncy,XAU Curncy,CL1 Comdty,HG1 Comdty,JPYUSD Curncy,TU1 Comdty,TY1 Comdty,FV1 Comdty,WN1 Comdty,RX1 Comdty,G 1 Comdty,SPX Index,SX5E Index,SXXP Index,NDX Index,DJI Index,NKY Index,RTY Index,SHSZ300 Index,HSTECH Index,MXWD Index
2013-01-02,1.3186,1686.89,93.12,373.6,0.011449,110.21875,132.140625,124.1875,159.5625,144.07,117.35,1457.0,2700.0,285.0,2738.75,13331.0,10680,873.419,2538.8,8106,3669
2013-01-03,1.3049,1663.99,92.92,371.7,0.011463,110.1953125,131.625,123.9453125,157.875,143.57,116.47,1453.5,2695.0,285.5,2725.5,13319.0,10680,872.605,2538.8,8106,3669
2013-01-04,1.3069,1656.1,93.09,369.35,0.011344,110.1796875,131.515625,123.890625,157.78125,142.75,115.88,1457.75,2698.0,286.0,2713.0,13346.0,10680,879.153,2538.8,8106,3669
2013-01-07,1.3117,1646.92,93.19,367.8,0.011391,110.1796875,131.578125,123.90625,158.09375,143.06,116.24,1455.75,2686.0,285.1,2717.75,13307.0,10620,875.799,2537.0,8106,3669
2013-01-08,1.3081,1659.13,93.15,367.2,0.011488,110.2109375,131.859375,124.03125,158.78125,143.43,116.86,1452.25,2685.0,284.9,2714.0,13267.0,10480,874.696,2526.8,8106,3669
2013-01-09,1.3064,1657.63,93.1,367.05,0.011379,110.2421875,132.0625,124.1640625,159.25,143.58,116.86,1455.75,2700.0,286.8,2722.0,13325.0,10570,879.507,2522.6,8106,3669
2013-01-10,1.3272,1675.36,93.82,370.9,0.011263,110.2265625,131.71875,124.015625,158.59375,142.7,116.2,1467.0,2701.0,286.0,2737.0,13406.0,10660,881.239,2527.8,8106,3669
2013-01-11,1.3343,1662.98,93.56,365.4,0.011213,110.234375,131.90625,124.0625,159.21875,142.31,116.26,1467.25,2711.0,285.6,2743.75,13433.0,10830,880.775,2493.4,8106,3669
2013-01-14,1.3382,1667.8,94.14,363.4,0.011176,110.2421875,132.03125,124.1328125,159.5625,142.77,116.82,1464.25,2711.0,284.8,2728.75,13433.0,10830,880.096,2587.8,8106,3669
2013-01-15,1.3306,1679.62,93.28,363.75,0.011263,110.2421875,132.265625,124.2421875,160.28125,143.29,116.98,1465.25,2696.0,284.8,2714.25,13463.0,10890,884.604,2601.4,8106,3669
2013-01-16,1.3289,1679.93,94.24,360.65,0.011315,110.234375,132.296875,124.265625,160.25,143.37,117.15,1465.5,2699.0,284.7,2726.0,13437.0,10580,882.314,2571.6,8106,3669
2013-01-17,1.3376,1687.64,95.49,366.2,0.011127,110.203125,131.875,124.0234375,158.9375,142.76,116.73,1475.75,2712.0,285.8,2740.5,13542.0,10630,890.359,2557.4,8106,3669
2013-01-18,1.3321,1684.25,95.56,367.9,0.0111,110.21875,132.140625,124.15625,159.9375,143.32,116.96,1479.0,2706.0,286.1,2733.75,13576.0,10920,892.8,2592.54,8106,3669
2013-01-22,1.3322,1692.75,96.24,370.5,0.011273,110.234375,132.265625,124.2265625,160.25,143.12,116.93,1489.5,2715.0,286.5,2751.0,13696.0,10700,899.238,2592.4,8106,3669
2013-01-23,1.3318,1685.84,95.23,368.45,0.011285,110.234375,132.296875,124.21875,160.0625,143.59,117.24,1490.25,2706.0,286.9,2759.0,13719.0,10470,896.704,2602.0,8106,3669
2013-01-24,1.3377,1667.97,95.95,367.65,0.011071,110.234375,132.234375,124.1875,159.78125,143.2,117.01,1491.75,2721.0,287.7,2718.25,13781.0,10630,900.191,2590.0,8106,3669
2013-01-25,1.3464,1658.65,95.88,365.2,0.011002,110.15625,131.40625,123.75,157.3125,142.5,116.66,1495.75,2740.0,288.4,2728.0,13812.0,10930,905.236,2588.2,8106,3669
2013-01-28,1.3456,1655.61,96.44,366.15,0.011007,110.140625,131.21875,123.6171875,157.0,141.79,116.25,1497.0,2746.0,288.5,2737.5,13832.0,10810,906.715,2648.6,8106,3669
2013-01-29,1.3492,1663.8,97.57,369.15,0.011023,110.1796875,131.21875,123.65625,156.53125,141.82,116.56,1505.0,2750.0,289.4,2742.75,13908.0,10890,907.313,2673.8,8106,3669
2013-01-30,1.3567,1677.0,97.94,375.0,0.010979,110.1875,131.1875,123.6953125,155.78125,141.43,116.15,1495.25,2730.0,287.4,2735.75,13838.0,11100,896.911,2684.2,8106,3669
2013-01-31,1.3579,1663.7,97.49,373.2,0.010903,110.2109375,131.28125,123.734375,156.53125,141.9,116.37,1493.25,2711.0,286.9,2725.0,13797.0,11110,902.087,2691.8,8106,3669
2013-02-01,1.364,1667.4,97.77,378.45,0.010773,110.2109375,131.125,123.765625,155.5,142.01,116.39,1506.75,2708.0,287.0,2756.5,13930.0,11170,911.199,2738.8,8106,3669
2013-02-04,1.3514,1674.3,96.17,376.85,0.010825,110.21875,131.5,123.921875,156.25,142.64,116.38,1493.5,2628.0,282.9,2711.5,13845.0,11270,899.278,2753.4,8106,3669
2013-02-05,1.3583,1672.95,96.64,377.0,0.010679,110.203125,131.21875,123.7734375,155.1875,142.2,116.09,1506.0,2652.0,283.7,2749.25,13910.0,11080,908.215,2779.0,8106,3669
2013-02-06,1.3523,1677.57,96.62,374.05,0.010677,110.234375,131.609375,123.953125,156.125,142.54,116.31,1506.75,2621.0,283.5,2737.25,13928.0,11430,911.286,2788.2,8106,3669
2013-02-07,1.3398,1671.4,95.83,372.7,0.01068,110.2265625,131.75,124.0078125,156.53125,142.82,116.2,1505.25,2599.0,282.6,2742.0,13898.0,11390,908.1,2779.2,8106,3669
2013-02-08,1.3365,1667.25,95.72,375.95,0.01079,110.2265625,131.734375,124.0,156.40625,142.83,116.32,1512.5,2627.0,285.9,2772.0,13926.0,11170,913.67,2778.2,8106,3669
2013-02-11,1.3406,1648.07,97.03,372.25,0.010601,110.21875,131.6875,123.9453125,156.84375,142.85,116.26,1513.0,2622.0,284.2,2770.5,13924.0,11170,913.034,2778.2,8106,3669
2013-02-12,1.3454,1651.33,97.51,374.4,0.010698,110.1953125,131.4375,123.8125,155.875,142.55,116.15,1516.25,2646.0,285.7,2760.75,13973.0,11370,917.515,2778.2,8106,3669
2013-02-13,1.3452,1642.5,97.01,374.25,0.010705,110.1796875,131.15625,123.65625,155.09375,142.05,115.14,1517.25,2655.0,287.2,2770.25,13958.0,11260,920.578,2778.2,8106,3669
2013-02-14,1.3363,1634.85,97.31,373.75,0.010768,110.203125,131.5625,123.8671875,156.28125,142.59,115.23,1518.5,2637.0,287.0,2767.25,13950.0,11330,923.761,2778.2,8106,3669
2013-02-15,1.336,1610.15,95.86,373.7,0.010694,110.1953125,131.53125,123.8203125,156.03125,142.34,115.26,1517.0,2615.0,286.5,2761.25,13948.0,11170,923.151,2778.2,8106,3669
2013-02-19,1.3388,1605.05,96.66,364.95,0.010686,110.1875,131.34375,123.75,155.40625,142.82,115.44,1528.0,2665.0,289.2,2780.75,14007.0,11370,932.002,2707.4,8106,3669
2013-02-20,1.3283,1564.55,94.46,360.8,0.010688,110.203125,131.46875,123.828125,155.28125,142.42,115.16,1507.0,2640.0,288.1,2737.5,13889.0,11440,913.498,2711.4,8106,3669
2013-02-21,1.319,1576.27,92.84,355.3,0.010738,110.21875,131.796875,123.96875,156.34375,143.38,116.08,1501.0,2579.0,284.2,2714.0,13872.0,11320,905.401,2619.2,8106,3669
2013-02-22,1.3194,1581.16,93.13,353.3,0.010706,110.2265625,131.90625,124.03125,156.625,143.62,116.06,1514.5,2630.0,287.7,2735.75,13981.0,11410,916.157,2605.6,8106,3669
2013-02-25,1.3063,1593.46,93.11,354.3,0.010891,110.25,132.5,124.2734375,158.34375,143.52,116.11,1487.25,2652.0,288.0,2702.25,13788.0,11650,895.845,2613.6,8106,3669
2013-02-26,1.3061,1613.76,92.63,356.65,0.010873,110.265625,132.671875,124.328125,158.8125,144.9,117.44,1492.5,2569.0,284.1,2707.75,13859.0,11410,900.054,2578.4,8106,3669
2013-02-27,1.3139,1597.1,92.76,354.5,0.010842,110.25,132.578125,124.3203125,158.03125,145.09,117.81,1515.75,2612.0,286.9,2740.5,14060.0,11260,909.919,2591.6,8106,3669
2013-02-28,1.3057,1579.61,92.05,352.75,0.010804,110.2578125,132.703125,124.375,158.28125,144.99,117.69,1513.25,2635.0,289.4,2738.0,14038.0,11500,911.106,2669.4,8106,3669
2013-03-01,1.3022,1576.18,90.68,348.15,0.010684,110.265625,132.921875,124.453125,159.0625,145.51,118.5,1516.5,2617.0,288.8,2748.75,14074.0,11570,914.729,2664.0,8106,3669
2013-03-04,1.3026,1573.83,90.12,348.3,0.010696,110.265625,132.78125,124.390625,158.40625,145.51,118.24,1525.75,2624.0,288.5,2760.0,14116.0,11650,916.679,2549.8,8106,3669
2013-03-05,1.3052,1575.5,90.82,349.65,0.01072,110.2578125,132.6875,124.3203125,157.96875,145.03,117.66,1537.0,2683.0,293.6,2798.25,14233.0,11690,927.398,2614.8,8106,3669
2013-03-06,1.2967,1583.97,90.43,347.4,0.01063,110.2421875,132.390625,124.1953125,156.75,145.12,117.77,1539.0,2679.0,292.8,2788.25,14265.0,11930,929.96,2646.8,8106,3669
2013-03-07,1.3107,1579.0,91.56,350.15,0.010545,110.2265625,131.9375,123.96875,155.5,145.27,117.14,1542.75,2687.0,292.9,2799.25,14316.0,11970,934.571,2617.8,8106,3669
2013-03-08,1.3005,1578.97,91.95,349.15,0.010416,110.2265625,131.46875,123.796875,154.125,142.46,116.68,1549.5,2727.0,295.2,2801.5,14373.0,12220,942.502,2613.4,8106,3669
2013-03-11,1.3046,1581.6,92.06,350.0,0.010386,110.21875,131.484375,123.8046875,154.15625,142.72,117.09,1556.0,2720.0,295.2,2809.75,14444.0,12290,942.509,2590.4,8106,3669
2013-03-12,1.3034,1592.8,92.54,353.8,0.010408,110.21875,131.734375,123.90625,155.0625,143.04,117.48,1552.5,2710.0,295.1,2803.0,14450.0,12260,940.263,2543.0,8106,3665
2013-03-13,1.2961,1587.7,92.52,350.95,0.010404,110.2109375,131.71875,123.8828125,155.0625,143.14,117.49,1556.0,2706.0,295.3,2799.0,14462.0,12200,943.902,2525.2,8106,3658
2013-03-14,1.3005,1590.19,93.03,352.35,0.010403,110.1953125,131.734375,123.875,154.34375,143.14,117.43,1562.25,2742.0,298.6,2806.0,14523.0,12330,953.068,2527.0,8106,3692
2013-03-15,1.3076,1592.1,93.45,350.8,0.010496,110.2265625,132.140625,124.0703125,154.9375,143.39,117.72,1557.08,2735.01,298.07,2803.36,14493.83,12490,952.483,2568.41,8106,3698
2013-03-18,1.2957,1605.49,93.74,341.7,0.010505,110.2265625,132.4375,124.1796875,156.03125,143.94,118.21,1546.75,2642.0,291.5,2787.0,14390.0,12170,947.203,2510.2,8106,3678
2013-03-19,1.2882,1612.87,92.16,339.55,0.010508,110.25,132.796875,124.3046875,157.40625,144.62,118.9,1542.25,2609.0,290.4,2779.5,14388.0,12420,942.846,2524.4,8106,3650
2013-03-20,1.2933,1606.92,92.96,343.55,0.010414,110.234375,131.390625,124.2734375,156.03125,144.3,118.63,1549.0,2646.0,291.1,2785.25,14408.0,12420,951.948,2606.0,8106,3679
2013-03-21,1.2899,1614.85,92.45,342.3,0.010539,110.21875,131.40625,124.234375,156.53125,144.46,118.71,1539.0,2617.0,289.2,2769.75,14347.0,12570,943.921,2612.8,8106,3659
2013-03-22,1.2989,1608.55,93.71,345.4,0.010583,110.2265625,131.515625,124.2734375,157.0625,144.37,118.89,1552.0,2619.0,288.9,2793.5,14459.0,12320,946.273,2625.0,8106,3672
2013-03-25,1.2853,1605.3,94.81,343.5,0.010618,110.234375,131.578125,124.2890625,156.875,144.72,119.22,1547.0,2587.0,288.4,2784.25,14386.0,12510,945.846,2621.0,8106,3653
2013-03-26,1.2861,1600.05,96.34,343.25,0.010588,110.234375,131.703125,124.359375,157.15625,144.82,119.12,1557.25,2577.0,288.7,2799.75,14478.0,12370,949.819,2578.8,8106,3663
2013-03-27,1.278,1605.27,96.58,344.35,0.010587,110.234375,132.125,124.546875,158.1875,145.52,119.07,1556.75,2548.0,287.4,2801.0,14445.0,12520,950.235,2575.4,8106,3659
2013-03-28,1.2816,1596.97,97.23,340.2,0.010619,110.25,131.984375,124.4453125,157.59375,145.49,118.78,1562.75,2554.0,288.4,2811.0,14497.0,12400,951.542,2502.0,8106,3675
2013-04-01,1.2849,1599.52,97.07,337.45,0.010726,110.2265625,132.125,124.15625,158.40625,145.49,118.78,1556.0,2554.0,288.4,2788.0,14489.0,12180,938.786,2486.0,8106,3675
2013-04-02,1.282,1575.89,97.19,337.85,0.010704,110.2265625,131.984375,124.1015625,157.96875,145.24,118.74,1564.5,2614.0,292.7,2812.75,14584.0,12030,934.298,2488.6,8106,3693
2013-04-03,1.285,1557.9,94.45,333.3,0.010748,110.2578125,132.40625,124.3125,159.25,145.52,118.94,1548.5,2577.0,289.9,2787.0,14487.0,12360,918.712,2483.6,8106,3666
2013-04-04,1.2936,1554.8,93.26,335.15,0.01038,110.2578125,132.84375,124.46875,161.21875,145.96,119.26,1554.5,2560.0,286.9,2785.0,14531.0,12720,925.662,2483.6,8106,3664
2013-04-05,1.2991,1581.25,92.7,334.4,0.010251,110.2578125,133.15625,124.5234375,164.53125,146.34,120.09,1546.0,2523.0,282.3,2763.0,14484.0,12810,923.277,2483.6,8106,3643
2013-04-08,1.3009,1573.47,93.36,337.1,0.010063,110.2578125,132.859375,124.4375,163.40625,146.08,119.55,1559.25,2523.0,282.5,2781.0,14563.0,13210,931.487,2470.6,8106,3651
2013-04-09,1.3083,1585.35,94.2,344.15,0.010098,110.25,132.8125,124.4453125,162.6875,145.8,119.19,1563.25,2527.0,282.8,2797.5,14610.0,13190,929.339,2486.4,8106,3675
2013-04-10,1.307,1558.42,94.64,341.8,0.010021,110.25,132.421875,124.2734375,160.65625,145.35,118.74,1582.75,2598.0,288.7,2853.25,14733.0,13290,946.094,2480.2,8106,3734
2013-04-11,1.3099,1561.5,93.51,343.35,0.010033,110.25,132.546875,124.3125,160.9375,145.25,118.84,1587.75,2617.0,290.4,2853.25,14796.0,13490,947.052,2470.4,8106,3765
2013-04-12,1.3113,1482.75,91.29,335.0,0.010162,110.2578125,132.984375,124.484375,163.15625,145.88,119.3,1582.0,2573.0,288.0,2846.25,14784.0,13500,942.852,2459.6,8106,3730
2013-04-15,1.3036,1348.21,88.71,327.3,0.010335,110.265625,133.046875,124.4921875,164.15625,146.04,119.48,1543.5,2564.0,286.2,2783.5,14512.0,13340,907.179,2433.8,8106,3706
2013-04-16,1.3177,1367.36,88.72,330.55,0.010251,110.265625,132.953125,124.453125,163.59375,145.73,119.31,1568.75,2555.0,284.5,2828.0,14685.0,13310,923.298,2449.2,8106,3690
2013-04-17,1.3032,1376.25,86.68,318.75,0.010194,110.265625,133.0625,124.4453125,164.0625,146.24,119.72,1546.0,2497.0,279.9,2774.5,14552.0,13400,906.8,2451.4,8106,3644
2013-04-18,1.3051,1390.5,87.73,320.45,0.010187,110.265625,133.140625,124.4375,164.75,146.27,119.9,1534.0,2499.0,279.7,2739.5,14410.0,13270,901.513,2461.2,8106,3640
2013-04-19,1.3052,1403.79,88.01,314.85,0.01005,110.2578125,133.0,124.3984375,164.28125,146.03,119.92,1547.5,2515.0,281.2,2768.25,14470.0,13370,912.497,2528.79,8106,3653
2013-04-22,1.3066,1426.45,88.76,313.1,0.010078,110.2734375,133.09375,124.4609375,164.375,146.35,120.1,1556.0,2525.0,281.9,2797.25,14499.0,13560,914.802,2527.8,8106,3651
2013-04-23,1.2996,1413.0,89.18,309.3,0.010053,110.2734375,133.078125,124.4375,164.1875,146.09,119.69,1573.5,2608.0,288.7,2823.0,14644.0,13540,929.362,2448.4,8106,3714
2013-04-24,1.3015,1431.99,91.43,315.7,0.01005,110.265625,133.109375,124.4921875,164.28125,146.19,119.76,1574.0,2647.0,291.1,2824.0,14615.0,13830,934.114,2488.2,8106,3729
2013-04-25,1.3011,1467.9,93.64,323.7,0.010075,110.28125,133.0625,124.4765625,163.75,146.2,119.44,1581.75,2650.0,293.3,2844.0,14653.0,13920,940.283,2469.8,8106,3759
2013-04-26,1.303,1461.92,93.0,318.45,0.0102,110.3046875,133.4375,124.6171875,165.1875,146.54,119.82,1576.5,2634.0,292.4,2830.5,14649.0,13950,935.253,2444.2,8106,3744
