Date,Portfolio_Return,Benchmark_Return,Active_Return
2013-01-03,-2.3495650511435173e-07,0.0,-2.3495650511435173e-07
2013-01-04,-3.9460537406145056e-07,0.0,-3.9460537406145056e-07
2013-01-07,2.7882568774458795e-07,0.0,2.7882568774458795e-07
2013-01-08,9.702515415398313e-08,0.0,9.702515415398313e-08
2013-01-09,-8.496960917745816e-08,0.0,-8.496960917745816e-08
2013-01-10,-3.3899359045175e-08,0.0,-3.3899359045175e-08
2013-01-11,2.698010858450223e-08,0.0,2.698010858450223e-08
2013-01-14,-3.2619610860098275e-07,0.0,-3.2619610860098275e-07
2013-01-15,-4.5031025427228497e-07,0.0,-4.5031025427228497e-07
2013-01-16,3.7352689156888e-07,0.0,3.7352689156888e-07
2013-01-17,-1.488741157567663e-07,0.0,-1.488741157567663e-07
2013-01-18,-2.967679664063559e-07,0.0,-2.967679664063559e-07
2013-01-22,-1.509039078737288e-07,0.0,-1.509039078737288e-07
2013-01-23,7.331313734581434e-08,0.0,7.331313734581434e-08
2013-01-24,-1.150918467457873e-06,0.0,-1.150918467457873e-06
2013-01-25,7.979781174914429e-08,0.0,7.979781174914429e-08
2013-01-28,1.213852566766948e-07,0.0,1.213852566766948e-07
2013-01-29,-2.1340974071816373e-07,0.0,-2.1340974071816373e-07
2013-01-30,1.4802661863640957e-07,0.0,1.4802661863640957e-07
2013-01-31,-5.7673640862405724e-08,0.0,-5.7673640862405724e-08
2013-02-01,1.145514971145287e-07,0.0,1.145514971145287e-07
2013-02-04,-6.099793837932583e-07,0.0,-6.099793837932583e-07
2013-02-05,5.505654266888338e-07,0.0,5.505654266888338e-07
2013-02-06,-3.3764551998534835e-07,0.0,-3.3764551998534835e-07
2013-02-07,2.3205889981586023e-07,0.0,2.3205889981586023e-07
2013-02-08,5.325993673841145e-07,0.0,5.325993673841145e-07
2013-02-11,-2.3718069115484187e-08,0.0,-2.3718069115484187e-08
2013-02-12,-4.1995360462077435e-07,0.0,-4.1995360462077435e-07
2013-02-13,2.693708759657105e-07,0.0,2.693708759657105e-07
2013-02-14,-3.0417294822763635e-08,0.0,-3.0417294822763635e-08
2013-02-15,-1.2081603002137923e-07,0.0,-1.2081603002137923e-07
2013-02-19,1.6897741374004324e-07,0.0,1.6897741374004324e-07
2013-02-20,-4.2536385891488887e-07,0.0,-4.2536385891488887e-07
2013-02-21,-4.391758669311306e-07,0.0,-4.391758669311306e-07
2013-02-22,9.334658313394179e-09,0.0,9.334658313394179e-09
2013-02-25,9.303101030387509e-08,0.0,9.303101030387509e-08
2013-02-26,-1.8580595911937262e-07,0.0,-1.8580595911937262e-07
2013-02-27,-1.4369521550603263e-07,0.0,-1.4369521550603263e-07
2013-02-28,3.8931351029774964e-08,0.0,3.8931351029774964e-08
2013-03-01,8.12514723415048e-08,0.0,8.12514723415048e-08
2013-03-04,6.614312041491009e-08,0.0,6.614312041491009e-08
2013-03-05,3.3235718974647067e-07,0.0,3.3235718974647067e-07
2013-03-06,-3.4737706901068557e-07,0.0,-3.4737706901068557e-07
2013-03-07,2.207327113837923e-08,0.0,2.207327113837923e-08
2013-03-08,-1.8960720589788278e-07,0.0,-1.8960720589788278e-07
2013-03-11,-1.1903309175511343e-07,0.0,-1.1903309175511343e-07
2013-03-12,-1.6812564046269752e-07,0.0,-1.6812564046269752e-07
2013-03-13,-1.3469712569526712e-07,0.0,-1.3469712569526712e-07
2013-03-14,-1.0245115203878968e-07,0.0,-1.0245115203878968e-07
2013-03-15,6.370596929825194e-08,0.0,6.370596929825194e-08
2013-03-18,7.923045265510853e-08,0.0,7.923045265510853e-08
2013-03-19,-1.5227421939473205e-07,0.0,-1.5227421939473205e-07
2013-03-20,4.049401056263784e-08,0.0,4.049401056263784e-08
2013-03-21,-7.943255661773195e-08,0.0,-7.943255661773195e-08
2013-03-22,4.584020173630255e-08,0.0,4.584020173630255e-08
2013-03-25,1.0367091644155916e-07,0.0,1.0367091644155916e-07
2013-03-26,-4.940865762097939e-08,0.0,-4.940865762097939e-08
2013-03-27,1.6263883482722795e-07,0.0,1.6263883482722795e-07
2013-03-28,-1.7725800902027563e-09,0.0,-1.7725800902027563e-09
2013-04-01,-4.552750535542039e-07,0.0,-4.552750535542039e-07
2013-04-02,1.3846453836489023e-07,0.0,1.3846453836489023e-07
2013-04-03,-1.4938259338267709e-07,0.0,-1.4938259338267709e-07
2013-04-04,-2.240379325010265e-07,0.0,-2.240379325010265e-07
2013-04-05,-2.783450082349855e-07,0.0,-2.783450082349855e-07
2013-04-08,6.32684011736976e-08,0.0,6.32684011736976e-08
2013-04-09,1.614438181401255e-07,0.0,1.614438181401255e-07
2013-04-10,6.867408863770134e-07,0.0,6.867408863770134e-07
2013-04-11,-2.551416823790478e-07,0.0,-2.551416823790478e-07
2013-04-12,-9.799138545381456e-08,0.0,-9.799138545381456e-08
2013-04-15,-2.1768108964776229e-07,0.0,-2.1768108964776229e-07
2013-04-16,2.425987332760145e-07,0.0,2.425987332760145e-07
2013-04-17,-5.883794914745016e-07,0.0,-5.883794914745016e-07
2013-04-18,-1.7045445305623907e-07,0.0,-1.7045445305623907e-07
2013-04-19,3.777404005902978e-07,0.0,3.777404005902978e-07
2013-04-22,5.054835512580355e-07,0.0,5.054835512580355e-07
2013-04-23,-4.7448159729989025e-08,0.0,-4.7448159729989025e-08
2013-04-24,1.3929588005971036e-07,0.0,1.3929588005971036e-07
2013-04-25,2.6743121612301377e-07,0.0,2.6743121612301377e-07
2013-04-26,-2.6694011435630094e-07,0.0,-2.6694011435630094e-07
2013-04-29,1.922716793205034e-07,0.0,1.922716793205034e-07
2013-04-30,3.4237791386366266e-07,0.0,3.4237791386366266e-07
2013-05-01,2.1148912948613123e-07,0.0,2.1148912948613123e-07
2013-05-02,2.967120521562438e-07,0.0,2.967120521562438e-07
2013-05-03,1.2063858651174714e-07,0.0,1.2063858651174714e-07
2013-05-06,2.2207702629425038e-07,0.0,2.2207702629425038e-07
2013-05-07,-3.2846375760473874e-07,0.0,-3.2846375760473874e-07
2013-05-08,-5.788280289919187e-09,0.0,-5.788280289919187e-09
2013-05-09,-4.241283040634658e-09,0.0,-4.241283040634658e-09
2013-05-10,2.578102357497313e-07,0.0,2.578102357497313e-07
2013-05-13,1.5384777788087101e-07,0.0,1.5384777788087101e-07
2013-05-14,-1.8237793163286277e-07,0.0,-1.8237793163286277e-07
2013-05-15,-1.2137194046378162e-07,0.0,-1.2137194046378162e-07
2013-05-16,3.540147565283839e-08,0.0,3.540147565283839e-08
2013-05-17,8.356101544856569e-08,0.0,8.356101544856569e-08
2013-05-20,-5.0127482269852327e-08,0.0,-5.0127482269852327e-08
2013-05-21,-1.303427961183056e-07,0.0,-1.303427961183056e-07
2013-05-22,-2.688177037621808e-07,0.0,-2.688177037621808e-07
2013-05-23,-5.3234399822656534e-08,0.0,-5.3234399822656534e-08
2013-05-24,-7.024662748176033e-08,0.0,-7.024662748176033e-08
2013-05-28,-3.2938419805121246e-08,0.0,-3.2938419805121246e-08
2013-05-29,1.6321929275063036e-07,0.0,1.6321929275063036e-07
2013-05-30,1.7565458682497618e-07,0.0,1.7565458682497618e-07
2013-05-31,2.632645015796632e-07,0.0,2.632645015796632e-07
2013-06-03,-3.5720947765186736e-07,0.0,-3.5720947765186736e-07
2013-06-04,-6.5843988315485e-08,0.0,-6.5843988315485e-08
